217.27,515.265,196
220.958,516.638,196
224.001,518.693,196
225.815,522.225,196
227.03,526.02,196
227.952,529.42,196
231.882,529.172,196
235.474,527.165,196
238.935,524.703,196
241.775,522.029,196
244.882,519.086,196
247.06,516.724,196
250.714,514.614,196
254.427,512.801,196
257.98,511.021,196
261.065,509.368,196
265.022,508.483,196
269.341,508.534,196
273.547,508.141,196
277.731,507.652,196
281.759,506.581,196
285.034,505.019,196
288.885,503.949,196
292.775,502.414,196
296.486,500.617,196
300.302,499.452,196
303.856,497.653,196
307.144,495.213,196
310.208,492.188,196
312.816,488.8,196
315.396,486.163,196
317.004,482.456,196
320.171,479.469,196
321.387,475.674,196
323.292,472.164,196
324.185,468.197,196
326.049,465.135,196
327.198,461.084,196
329.003,457.315,196
329.937,453.414,196
331.596,449.635,196
333.342,446.059,196
334.108,442.087,196
335.181,438.068,196
336.68,434.389,196
338.252,430.735,196
339.441,427.417,196
338.541,424.117,196
336.048,420.816,196
333.403,418.088,196
329.825,416.33,196
326.264,414.553,196
323.433,411.91,196
320.948,410.093,196
317.573,408.521,196
315.132,406.67,196
312.41,404.115,196
308.32,403.143,196
305.231,404.674,196
303.057,407.82,196
300.578,410.238,196
299.085,413.992,196
297.185,417.502,196
295.609,421.147,196
292.926,424.336,196
291.138,427.333,196
289.009,430.801,196
286.199,433.34,196
283.859,436.745,196
281.507,440.07,196
280.187,443.548,196
279.762,447.43,196
279.726,451.745,196
280.574,455.734,196
281.961,458.897,196
283.159,462.705,196
284.81,466.411,196
285.03,470.684,196
285.884,474.621,196
285.083,478.574,196
284.561,482.657,196
282.761,486.264,196
281.507,490.145,196
278.324,493.106,196
275.424,495.38,196
271.974,497.935,196
268.092,498.936,196
264.091,499.631,196
260.062,500.715,196
256.094,501.484,196
252.026,502.428,196
247.984,503.352,196
243.755,504.17,196
240.261,504.976,196
237.106,506.791,196
233.173,507.682,196
229.358,508.851,196
225.556,510.051,196
221.294,510.332,196
217.44,512.33,196
